external_ref,status,source,ref,date_time,state,cvv_provided,amount,country,currency,CAD_Rate,EUR_Rate,MXN_Rate,USD_Rate,SGD_Rate,AUD_Rate ,GBP_Rate
FP7dufG_9Su4OJT24AIfc,TRUE,GLOBALPAY,evt_1ERDNrYUFcjwzawy81EMkbY,2019-01-01T09:36:00.000Z,ACCEPTED,FALSE,2708.47,FR,EUR,1.419001248,0.919301507,25.09893665,1,1.430333363,1.657204736,0.818093219
DmQyXYhid18oJiWpsXSZb,TRUE,GLOBALPAY,evt_1EIlcl6xvGPp7zEpIxK5z7f,2019-01-01T14:24:00.000Z,DECLINED,FALSE,3077.75,FR,EUR,1.419001248,0.919301507,25.09893665,1,1.430333363,1.657204736,0.818093219
JRaX97jStHW0hMW-QHjl9,TRUE,GLOBALPAY,evt_1EkT3sHKjjf8dAk-yWqTvqw,2019-01-01T19:12:00.000Z,ACCEPTED,FALSE,3267.01,FR,EUR,1.419001248,0.919301507,25.09893665,1,1.430333363,1.657204736,0.818093219
tOClN5zRmeMhifdlBhWG7,TRUE,GLOBALPAY,evt_1ELyHogAOzmoB9IvCTZ1Mb0,2019-01-01T00:00:00.000Z,ACCEPTED,FALSE,802.75,CA,CAD,1.417266471,0.923740951,25.09517697,1,1.431565541,1.657175105,0.821798786
6igaKb272U_I3tJIjiMMc,TRUE,GLOBALPAY,evt_1EojZ5XsAAFnJ-fC6lw7vaG,2019-01-01T04:48:00.000Z,ACCEPTED,FALSE,619.31,CA,CAD,1.417266471,0.923740951,25.09517697,1,1.431565541,1.657175105,0.821798786
vbvYmbZ37l0sqUGN302sG,TRUE,GLOBALPAY,evt_1EC-tQBmz9QwudbIT5eUWS0,2019-01-01T09:36:00.000Z,ACCEPTED,FALSE,856.11,CA,CAD,1.417266471,0.923740951,25.09517697,1,1.431565541,1.657175105,0.821798786
U6IYSmKpBvzV63pCAwOkL,TRUE,GLOBALPAY,evt_1E2G-omNPvpW5CFkqrL9ANG,2019-01-01T14:24:00.000Z,DECLINED,FALSE,850.59,CA,CAD,1.417266471,0.923740951,25.09517697,1,1.431565541,1.657175105,0.821798786
WHQeUNR5QU6LqTF6jU_w3,TRUE,GLOBALPAY,evt_1EhAk55OEb-N1ilnbCU2UMq,2019-01-01T19:12:00.000Z,ACCEPTED,FALSE,1320.99,CA,CAD,1.417266471,0.923740951,25.09517697,1,1.431565541,1.657175105,0.821798786
KoU335CmEIXwdqwAZR2TL,TRUE,GLOBALPAY,evt_1E21YDZjUCm11r1TL_iOOCh,2019-01-01T00:00:00.000Z,ACCEPTED,FALSE,1007.43,AE,USD,1.417555518,0.920494475,25.0902422,1,1.434902906,1.661261065,0.819326632
PkVGp258KSRsvzlvw7Uah,TRUE,GLOBALPAY,evt_1ERqXrS69n5ah2WVBA4dVVA,2019-01-01T04:48:00.000Z,ACCEPTED,FALSE,1358.69,AE,USD,1.417555518,0.920494475,25.0902422,1,1.434902906,1.661261065,0.819326632
Oy4TfQVxcLfiyvCEJayCB,TRUE,GLOBALPAY,evt_1E6pyvgL2bDNFVi5yUITlmW,2019-01-01T09:36:00.000Z,ACCEPTED,FALSE,1345.4,AE,USD,1.417555518,0.920494475,25.0902422,1,1.434902906,1.661261065,0.819326632
uNzdAjMMXp9El0aDYIzUm,TRUE,GLOBALPAY,evt_1EL2E3lQVDwZEJg7oK1wfOQ,2019-01-01T14:24:00.000Z,ACCEPTED,FALSE,1857.56,AE,USD,1.417555518,0.920494475,25.0902422,1,1.434902906,1.661261065,0.819326632
HfeEyPvqAR20kPH2MvAPR,TRUE,GLOBALPAY,evt_1EWXP2mB8IGETXoFieyhnRX,2019-01-01T19:12:00.000Z,ACCEPTED,FALSE,1817.14,AE,USD,1.417555518,0.920494475,25.0902422,1,1.434902906,1.661261065,0.819326632
vcFARfAhlWd2c3nW-KKxi,TRUE,GLOBALPAY,evt_1E-7GEiBQgqE83nDxdI15_l,2019-01-02T00:00:00.000Z,ACCEPTED,FALSE,2860.84,US,USD,1.416668991,0.9229663,25.09297875,1,1.438566866,1.662346037,0.823282575
RQXhQbAJHkN1jwMaNu79b,TRUE,GLOBALPAY,evt_1E4oar-SJwNLXHDxQGn60wT,2019-01-02T04:48:00.000Z,ACCEPTED,FALSE,3556.52,US,USD,1.416668991,0.9229663,25.09297875,1,1.438566866,1.662346037,0.823282575
GJJM8FMb2tL2d-oQNVgMw,TRUE,GLOBALPAY,evt_1E32lj7aLmqk72OLB4C7_YL,2019-01-02T09:36:00.000Z,ACCEPTED,FALSE,3322.42,US,USD,1.416668991,0.9229663,25.09297875,1,1.438566866,1.662346037,0.823282575
OzgrYr2o2U8YZ_-5KbVcC,TRUE,GLOBALPAY,evt_1EuxOx-pe58xggEv0FHR48x,2019-01-02T14:24:00.000Z,ACCEPTED,FALSE,3207.16,US,USD,1.416668991,0.9229663,25.09297875,1,1.438566866,1.662346037,0.823282575
RGKjej45sMmg1QdR8HAeu,TRUE,GLOBALPAY,evt_1Ee0PAbFFKU0ZMkbP4twuZw,2019-01-02T19:12:00.000Z,ACCEPTED,FALSE,3678.74,US,USD,1.416668991,0.9229663,25.09297875,1,1.438566866,1.662346037,0.823282575
8eoxlgMKNgvjSX5wQXWm-,TRUE,GLOBALPAY,evt_1ERoyScQfnAKZNzHeIpXOaH,2019-01-02T00:00:00.000Z,ACCEPTED,FALSE,2373.28,MX,MXN,1.417217832,0.924109363,25.08838861,1,1.440321229,1.658147037,0.827861441
f3HFG7ahP-CAaNDPTfHCx,TRUE,GLOBALPAY,evt_1E-O-x0GxWsSQR7ylqxfcbR,2019-01-02T04:48:00.000Z,DECLINED,FALSE,2350.81,MX,MXN,1.417217832,0.924109363,25.08838861,1,1.440321229,1.658147037,0.827861441
qRliPYK32-fxuG_8gtzwo,TRUE,GLOBALPAY,evt_1E9Mg2eDd4zbn9FeAEVDs2J,2019-01-02T09:36:00.000Z,DECLINED,FALSE,2983.89,MX,MXN,1.417217832,0.924109363,25.08838861,1,1.440321229,1.658147037,0.827861441
jp3-kF2_3PR1kKvgxmGrM,TRUE,GLOBALPAY,evt_1EZg_Nz6eRkKkfHxZpWF6Ee,2019-01-02T14:24:00.000Z,ACCEPTED,FALSE,3509,MX,MXN,1.417217832,0.924109363,25.08838861,1,1.440321229,1.658147037,0.827861441
0n2Qg32_o5znAmfoSLg7x,TRUE,GLOBALPAY,evt_1EiziOD_xpib4yUI7Pf5p4y,2019-01-02T19:12:00.000Z,ACCEPTED,FALSE,3948.51,MX,MXN,1.417217832,0.924109363,25.08838861,1,1.440321229,1.658147037,0.827861441
3t9Nt9ihAZpbXyjWEpcz0,TRUE,GLOBALPAY,evt_1EeNHCA1E56QN_uw77Ha66V,2019-01-02T00:00:00.000Z,DECLINED,FALSE,496.74,UK,GBP,1.418973715,0.92188086,25.08777915,1,1.43561738,1.657153008,0.828009605
PRa0HqTzZOmz5qE8Doa3G,TRUE,GLOBALPAY,evt_1EkXsTeM-nJvkrPvGMqzAYe,2019-01-02T04:48:00.000Z,ACCEPTED,FALSE,290.61,UK,GBP,1.418973715,0.92188086,25.08777915,1,1.43561738,1.657153008,0.828009605
G_vtELr0H6gGMq5WWdJLB,TRUE,GLOBALPAY,evt_1E_25fw8pmnjndqfafZVO05,2019-01-02T09:36:00.000Z,ACCEPTED,FALSE,256.46,UK,GBP,1.418973715,0.92188086,25.08777915,1,1.43561738,1.657153008,0.828009605
2wzqGAWXzZ-A89MAJWhah,TRUE,GLOBALPAY,evt_1EWfevaSyxzJFP_7S2C4-71,2019-01-02T14:24:00.000Z,DECLINED,FALSE,42.19,UK,GBP,1.418973715,0.92188086,25.08777915,1,1.43561738,1.657153008,0.828009605
3nOlqF7eFvyJQG4kWn0sd,TRUE,GLOBALPAY,evt_1ElXVF_gTpKVOw26-RvUj1h,2019-01-02T19:12:00.000Z,ACCEPTED,FALSE,60.81,UK,GBP,1.418973715,0.92188086,25.08777915,1,1.43561738,1.657153008,0.828009605
zmylL4Rge2PBr6z9g8CLi,TRUE,GLOBALPAY,evt_1Edp39u65v7289yV14ugulp,2019-01-02T00:00:00.000Z,DECLINED,FALSE,2997.61,FR,EUR,1.421266671,0.917682983,25.08825728,1,1.436217579,1.654839888,0.831109781
vJCUNXj3zil6RTZBgLaTP,TRUE,GLOBALPAY,evt_1E0sUU9xacvq4kL7Wo2TKMC,2019-01-02T04:48:00.000Z,DECLINED,FALSE,3521.93,FR,EUR,1.421266671,0.917682983,25.08825728,1,1.436217579,1.654839888,0.831109781
JXcp_-Pl5d02pPFP7JjiD,TRUE,GLOBALPAY,evt_1E0wXUz3pgRkxG9WQQIg1zu,2019-01-02T09:36:00.000Z,ACCEPTED,FALSE,3443.9,FR,EUR,1.421266671,0.917682983,25.08825728,1,1.436217579,1.654839888,0.831109781
56Rf9XD6HfNTsSPCe2l2s,TRUE,GLOBALPAY,evt_1EpaRJEesvXGbj0ylOIQ8wd,2019-01-02T14:24:00.000Z,ACCEPTED,FALSE,3153.28,FR,EUR,1.421266671,0.917682983,25.08825728,1,1.436217579,1.654839888,0.831109781
VmeZ1pMsMLkmXqnpKrfLY,TRUE,GLOBALPAY,evt_1Es-YdhEoZxvh99Bw8C34q1,2019-01-02T19:12:00.000Z,ACCEPTED,FALSE,2931.98,FR,EUR,1.421266671,0.917682983,25.08825728,1,1.436217579,1.654839888,0.831109781
yJ_BuRV3ThK9i5Yyzi5pL,TRUE,GLOBALPAY,evt_1E8Iz0xF-HZ38nZv2Qp3aFq,2019-01-02T00:00:00.000Z,ACCEPTED,FALSE,1706.84,CA,CAD,1.420898796,0.913967854,25.08571101,1,1.435798897,1.654311729,0.827057974
DgiK1CGWAFsI7xFQQcnao,TRUE,GLOBALPAY,evt_1EwqG3rRGSeo58s6xFwIzDJ,2019-01-02T04:48:00.000Z,ACCEPTED,FALSE,2035.78,CA,CAD,1.420898796,0.913967854,25.08571101,1,1.435798897,1.654311729,0.827057974
LXVEQP3MCOdWMEVFxgTAI,TRUE,GLOBALPAY,evt_1EGgrCb_CbiOKfmoNOtGrpI,2019-01-02T09:36:00.000Z,ACCEPTED,FALSE,2087.17,CA,CAD,1.420898796,0.913967854,25.08571101,1,1.435798897,1.654311729,0.827057974
cqLpDDx21jE4WVGVvkyY1,TRUE,GLOBALPAY,evt_1EIH6IBrf6vmoAZhwIPZ-oo,2019-01-02T14:24:00.000Z,ACCEPTED,FALSE,2748.28,CA,CAD,1.420898796,0.913967854,25.08571101,1,1.435798897,1.654311729,0.827057974
t7jcfJMycO1crYV8CI6Qm,TRUE,GLOBALPAY,evt_1EuWCWbBnjTXYPxD5TuGC1p,2019-01-02T19:12:00.000Z,ACCEPTED,FALSE,3374.03,CA,CAD,1.420898796,0.913967854,25.08571101,1,1.435798897,1.654311729,0.827057974
clpSnhixFiWkMaBpWemLl,TRUE,GLOBALPAY,evt_1E6FBGAn5p1TyjPC655XzlO,2019-01-02T00:00:00.000Z,ACCEPTED,FALSE,2451.95,AE,USD,1.416491913,0.91261835,25.08319787,1,1.437109685,1.652637329,0.826130324
EP9vcj8u1HmGb8iVXGXPm,TRUE,GLOBALPAY,evt_1EpajOWYTL8sssW-1VHwUO3,2019-01-02T04:48:00.000Z,ACCEPTED,FALSE,2835.55,AE,USD,1.416491913,0.91261835,25.08319787,1,1.437109685,1.652637329,0.826130324
CNay9vG2CKGVuZp3J82ZA,TRUE,GLOBALPAY,evt_1EqCPKpoxJBJSLmsTEBnM92,2019-01-02T09:36:00.000Z,ACCEPTED,FALSE,3301.72,AE,USD,1.416491913,0.91261835,25.08319787,1,1.437109685,1.652637329,0.826130324
gIQwaSgq7oiVnBaNF4rPS,TRUE,GLOBALPAY,evt_1EPcUFNPrSahy4zGYA7oNG6,2019-01-02T14:24:00.000Z,ACCEPTED,FALSE,3175.36,AE,USD,1.416491913,0.91261835,25.08319787,1,1.437109685,1.652637329,0.826130324
LJYz6S2CdFmHPsqx7vp8_,TRUE,GLOBALPAY,evt_1Eo21cGutPsJSwPorj3a8Jl,2019-01-02T19:12:00.000Z,ACCEPTED,FALSE,3033.41,AE,USD,1.416491913,0.91261835,25.08319787,1,1.437109685,1.652637329,0.826130324
IroRBWyG_s_FwDVZy2XPQ,TRUE,GLOBALPAY,evt_1E170drJfHysbD8DbRTcyKf,2019-01-03T00:00:00.000Z,ACCEPTED,FALSE,3697.78,US,USD,1.414870021,0.910714085,25.07956737,1,1.439174233,1.657534715,0.829022958
haT-Xg9MZ3VW-VpOj3a8m,TRUE,GLOBALPAY,evt_1ELkeB5A4t-2Fo-Bwv5D3hg,2019-01-03T04:48:00.000Z,ACCEPTED,FALSE,3685.7,US,USD,1.414870021,0.910714085,25.07956737,1,1.439174233,1.657534715,0.829022958
WnzaaolKcDnhr9Us8nMiO,TRUE,GLOBALPAY,evt_1E85hXz36LeB6STrTBJLKFe,2019-01-03T09:36:00.000Z,ACCEPTED,FALSE,3857.86,US,USD,1.414870021,0.910714085,25.07956737,1,1.439174233,1.657534715,0.829022958
ZwRYCK6gPk6MVt5dxpWev,TRUE,GLOBALPAY,evt_1EsJ1Kf-hSD4VooPyBTM54-,2019-01-03T14:24:00.000Z,DECLINED,FALSE,4101.37,US,USD,1.414870021,0.910714085,25.07956737,1,1.439174233,1.657534715,0.829022958
xu1Po5sQr30t_mABUsRBl,TRUE,GLOBALPAY,evt_1E7_Y9dbR5TcmZWpbSfo47M,2019-01-03T19:12:00.000Z,DECLINED,FALSE,3936.57,US,USD,1.414870021,0.910714085,25.07956737,1,1.439174233,1.657534715,0.829022958
pN-NrYthCv4ffSU2KAkyU,TRUE,GLOBALPAY,evt_1ERqiEA9uNONlrEJgP0t-SV,2019-01-03T00:00:00.000Z,ACCEPTED,FALSE,3910.25,MX,MXN,1.414881493,0.914812416,25.07984343,1,1.443330079,1.658291622,0.833977569
F3NumyrteMRXlR7TIIO6X,TRUE,GLOBALPAY,evt_1EcqndP-5jZ0KZND-r6d75Z,2019-01-03T04:48:00.000Z,DECLINED,FALSE,3744.67,MX,MXN,1.414881493,0.914812416,25.07984343,1,1.443330079,1.658291622,0.833977569
oaGQi8dOvK-Nojt3-Z253,TRUE,GLOBALPAY,evt_1EMPrgiS0uW9IBlKAyUULwY,2019-01-03T09:36:00.000Z,ACCEPTED,FALSE,3959.68,MX,MXN,1.414881493,0.914812416,25.07984343,1,1.443330079,1.658291622,0.833977569
7ut4wt5T2BHVRmBTrGZ5q,TRUE,GLOBALPAY,evt_1Ea_ICaQKcV35aSdE4eXXW8,2019-01-03T14:24:00.000Z,ACCEPTED,FALSE,4420.73,MX,MXN,1.414881493,0.914812416,25.07984343,1,1.443330079,1.658291622,0.833977569
GCw37XAhOL55MiXzU4RKm,TRUE,GLOBALPAY,evt_1Egpz7zqcV0gopZcOUClIfq,2019-01-03T19:12:00.000Z,DECLINED,FALSE,4121.37,MX,MXN,1.414881493,0.914812416,25.07984343,1,1.443330079,1.658291622,0.833977569
A8MODI8tlBtLzBiAxFaB4,TRUE,GLOBALPAY,evt_1EUMzbG7iTUOM4JcQlgUlwT,2019-01-03T00:00:00.000Z,DECLINED,FALSE,461.65,UK,GBP,1.410698331,0.913632044,25.08359475,1,1.441567931,1.661822051,0.833791492
wQhcfjiMGKXbRBMtHx8o-,TRUE,GLOBALPAY,evt_1EQXMwhee8wg2cT-S8pZ-xU,2019-01-03T04:48:00.000Z,ACCEPTED,FALSE,210.39,UK,GBP,1.410698331,0.913632044,25.08359475,1,1.441567931,1.661822051,0.833791492
OSVHIahtQ8jhKsfH0KthP,TRUE,GLOBALPAY,evt_1Eqrw1VXhfX_3Z-w7j649Xu,2019-01-03T09:36:00.000Z,DECLINED,FALSE,479.22,UK,GBP,1.410698331,0.913632044,25.08359475,1,1.441567931,1.661822051,0.833791492
o93lkQZcfB24ytA8AtqLe,TRUE,GLOBALPAY,evt_1EqpawYjR28PpnNWU8EUwK0,2019-01-03T14:24:00.000Z,DECLINED,FALSE,534.56,UK,GBP,1.410698331,0.913632044,25.08359475,1,1.441567931,1.661822051,0.833791492
Q1gmXV4ZcQP3pcg4H0Nhs,TRUE,GLOBALPAY,evt_1EZZeA4XUziEi2gJDRhEEjJ,2019-01-03T19:12:00.000Z,ACCEPTED,FALSE,663.41,UK,GBP,1.410698331,0.913632044,25.08359475,1,1.441567931,1.661822051,0.833791492
sJoIGj0y7pY5TV2m0-qp8,TRUE,GLOBALPAY,evt_1EI64EjtWP7L4OMIA7wETXu,2019-01-03T00:00:00.000Z,ACCEPTED,FALSE,2831.83,FR,EUR,1.412793104,0.913235791,25.08340885,1,1.440960121,1.659276441,0.831239683
eJv1Q9CUR21Sulgb3EIaq,TRUE,GLOBALPAY,evt_1ESPjYVRtJMfrvj5mDXjtG3,2019-01-03T04:48:00.000Z,ACCEPTED,FALSE,3036.85,FR,EUR,1.412793104,0.913235791,25.08340885,1,1.440960121,1.659276441,0.831239683
pwZVI7oHCc7ARiX52u079,TRUE,GLOBALPAY,evt_1EyVF626E2-bWODn1pkcU7V,2019-01-03T09:36:00.000Z,ACCEPTED,TRUE,3366.55,FR,EUR,1.412793104,0.913235791,25.08340885,1,1.440960121,1.659276441,0.831239683
7L_6K4mlAEHA0rzce2oQA,TRUE,GLOBALPAY,evt_1EjAD1pQYXCMVUC0pa3xhs5,2019-01-03T14:24:00.000Z,ACCEPTED,FALSE,3803.42,FR,EUR,1.412793104,0.913235791,25.08340885,1,1.440960121,1.659276441,0.831239683
UkMoGSc-SZVSgXRlHMnra,TRUE,GLOBALPAY,evt_1Em1H9WaZr2jBuj-KzwUTIq,2019-01-03T19:12:00.000Z,ACCEPTED,FALSE,3594.62,FR,EUR,1.412793104,0.913235791,25.08340885,1,1.440960121,1.659276441,0.831239683
Itw9pMU3cRGyE8VwDnTG9,TRUE,GLOBALPAY,evt_1EAK4JKbSDU7zE7Tsr4S9V1,2019-01-03T00:00:00.000Z,ACCEPTED,FALSE,3907.4,CA,CAD,1.411605727,0.911550084,25.08698199,1,1.441989947,1.664243073,0.830341503
L4JrMJb8Ch5zWx62htOZj,TRUE,GLOBALPAY,evt_1ENuPFzxRZHPJfDFnDLTAu8,2019-01-03T04:48:00.000Z,ACCEPTED,FALSE,3668.57,CA,CAD,1.411605727,0.911550084,25.08698199,1,1.441989947,1.664243073,0.830341503
1ld_vshleiyZlUnanUQuc,TRUE,GLOBALPAY,evt_1E_0lY4EsHNvQUS4-OYViKl,2019-01-03T09:36:00.000Z,DECLINED,FALSE,3803.77,CA,CAD,1.411605727,0.911550084,25.08698199,1,1.441989947,1.664243073,0.830341503
iP6IF-CoWP2xHUGJz8RWe,TRUE,GLOBALPAY,evt_1EfJIK4xJY3uXUzkkf3pvT-,2019-01-03T14:24:00.000Z,DECLINED,FALSE,3580.59,CA,CAD,1.411605727,0.911550084,25.08698199,1,1.441989947,1.664243073,0.830341503
9UoEE367jaffIHtYzK-ru,TRUE,GLOBALPAY,evt_1E_plcFURY-tZ1lk9BX-SEC,2019-01-03T19:12:00.000Z,ACCEPTED,FALSE,3537.34,CA,CAD,1.411605727,0.911550084,25.08698199,1,1.441989947,1.664243073,0.830341503
obZW9g8JWOc75rVu1PWZh,TRUE,GLOBALPAY,evt_1Ey2sZDfIXKgwVlqGlFsO4r,2019-01-03T00:00:00.000Z,DECLINED,FALSE,3211.65,AE,USD,1.407519393,0.909846124,25.0885096,1,1.440010903,1.667009878,0.835202736
fx_NZ8ZffCkbxtZ-2vnyO,TRUE,GLOBALPAY,evt_1EoY9eWIjefBBqKVvIfAk80,2019-01-03T04:48:00.000Z,ACCEPTED,FALSE,3631.43,AE,USD,1.407519393,0.909846124,25.0885096,1,1.440010903,1.667009878,0.835202736
jqc1IhJJGGfCBQjjBxxid,TRUE,GLOBALPAY,evt_1E8fV98bq4dvE9Jw70x4KML,2019-01-03T09:36:00.000Z,ACCEPTED,FALSE,3910.68,AE,USD,1.407519393,0.909846124,25.0885096,1,1.440010903,1.667009878,0.835202736
VthSePU0v5REfhyRDHhjI,TRUE,GLOBALPAY,evt_1ECOry5_Cd3CBnv5vsTYWjG,2019-01-03T14:24:00.000Z,ACCEPTED,FALSE,3682.84,AE,USD,1.407519393,0.909846124,25.0885096,1,1.440010903,1.667009878,0.835202736
IbrRwEE-OMzXmKrpyS-uF,TRUE,GLOBALPAY,evt_1E6M1omglW0x8Pheq8qthZw,2019-01-03T19:12:00.000Z,ACCEPTED,FALSE,3945.4,AE,USD,1.407519393,0.909846124,25.0885096,1,1.440010903,1.667009878,0.835202736
qoBn5WroAU7Ei1mU6Ll3p,TRUE,GLOBALPAY,evt_1E7VKbm2PKQwnZk5kzFupbd,2019-01-04T00:00:00.000Z,ACCEPTED,FALSE,3915.76,US,USD,1.407798105,0.913229387,25.08586164,1,1.439345519,1.662295611,0.832998055
skYE6_23jxxikbIwgZtxB,TRUE,GLOBALPAY,evt_1EqX0WAxx1oG8U1eHcXMda7,2019-01-04T04:48:00.000Z,ACCEPTED,FALSE,4582.31,US,USD,1.407798105,0.913229387,25.08586164,1,1.439345519,1.662295611,0.832998055
PCPB7ijTJ9Ek3DSbnDgXu,TRUE,GLOBALPAY,evt_1EaweKF8-0DLZ2QonvWtYsl,2019-01-04T09:36:00.000Z,ACCEPTED,FALSE,5122.4,US,USD,1.407798105,0.913229387,25.08586164,1,1.439345519,1.662295611,0.832998055
a-pZBvZcAvnaEtWY79LDe,TRUE,GLOBALPAY,evt_1EPgS94mx8-ZFx1HRG93ZEf,2019-01-04T14:24:00.000Z,DECLINED,FALSE,5225.38,US,USD,1.407798105,0.913229387,25.08586164,1,1.439345519,1.662295611,0.832998055
RBQg9xr6aGpy6BPpY6aLc,TRUE,GLOBALPAY,evt_1E7nG1HXei3xnTXNypZ8U1V,2019-01-04T19:12:00.000Z,DECLINED,FALSE,5670.14,US,USD,1.407798105,0.913229387,25.08586164,1,1.439345519,1.662295611,0.832998055
vh1m60bWottJQKq_ixwg1,TRUE,GLOBALPAY,evt_1EhwDuVmcxXzqiSrVBeKzN1,2019-01-04T00:00:00.000Z,ACCEPTED,FALSE,3924.41,MX,MXN,1.403037948,0.910120953,25.08506281,1,1.444108622,1.664702192,0.833805406
xUosizV48IzUFye5Jzf6h,TRUE,GLOBALPAY,evt_1EwRy7xH0eAWnEYJN24F9S1,2019-01-04T04:48:00.000Z,ACCEPTED,FALSE,3683.23,MX,MXN,1.403037948,0.910120953,25.08506281,1,1.444108622,1.664702192,0.833805406
iRtcg_FsVRcmOPh4iEo-D,TRUE,GLOBALPAY,evt_1ELwFLNmrJrpntv8_prCxVu,2019-01-04T09:36:00.000Z,DECLINED,FALSE,3433.09,MX,MXN,1.403037948,0.910120953,25.08506281,1,1.444108622,1.664702192,0.833805406
NR2RmUyWFiv9oE8_ASaGq,TRUE,GLOBALPAY,evt_1EFNjZJ3NGlg8vmE20iDddS,2019-01-04T14:24:00.000Z,ACCEPTED,FALSE,3199.01,MX,MXN,1.403037948,0.910120953,25.08506281,1,1.444108622,1.664702192,0.833805406
